magnitude,cdi,mmi,sig,dmin,latitude,longitude,Year,Month,tsunami
6.6,7,5.0,899.0,1.634,-38.1911,-70.3731,2023,7,0
6.6,6,6.0,733.0,2.163,8.8894,-77.1231,2023,5,1
7.1,9,7.0,838.0,2.282,-0.781,98.5339,2023,4,0
7.0,5,3.0,818.0,1.881,-6.0255,112.033,2023,4,0
6.5,7,6.0,655.0,0.266,52.7772,158.484,2023,4,1
6.5,4,4.0,656.0,1.622,-23.4797,-66.5108,2023,3,0
6.5,7,5.0,1350.0,2.53,36.5227,70.9787,2023,3,0
6.8,9,7.0,1159.0,0.709,-2.851,-79.8001,2023,3,1
6.8,9,7.0,737.0,1.783,38.0726,73.2077,2023,2,0
7.5,9,9.0,1411.0,0.85,38.0235,37.203,2023,2,0
6.7,9,8.0,800.0,0.218,37.4135,36.8306,2023,2,0
6.8,4,3.0,718.0,5.129,-26.7209,-63.0394,2023,1,0
7.0,3,5.0,756.0,1.974,2.7401,127.051,2023,1,1
7.6,5,7.0,957.0,1.575,-7.0852,130.039,2023,1,0
7.0,8,7.0,768.0,6.096,-14.9383,166.878,2023,1,1
7.0,8,7.0,768.0,0.509,-9.7963,159.596,2022,11,1
7.0,3,3.0,755.0,3.125,-20.0508,-178.346,2022,11,1
6.7,7,6.0,797.0,1.151,7.6712,-82.3396,2022,10,1
6.8,8,7.0,1179.0,2.137,18.33,-102.913,2022,9,1
7.6,9,8.0,1799.0,1.153,18.3667,-103.252,2022,9,1
6.9,9,9.0,887.0,0.401,23.1444,121.307,2022,9,1
6.5,7,7.0,756.0,0.43,23.029,121.348,2022,9,1
7.6,8,8.0,965.0,3.158,-6.2237,146.471,2022,9,1
7.0,9,8.0,1351.0,5.276,17.5978,120.809,2022,7,1
7.2,7,5.0,876.0,2.494,-14.8628,-70.3081,2022,5,1
6.8,6,5.0,762.0,1.505,-23.6141,-66.7236,2022,5,1
6.7,8,7.0,806.0,0.289,23.3421,121.636,2022,3,1
6.7,9,6.0,708.0,2.188,-0.6831,98.6034,2022,3,0
6.5,8,6.0,690.0,3.026,-4.455,-76.9395,2022,2,0
6.6,8,6.0,785.0,2.418,-6.9291,105.251,2022,1,0
6.6,9,8.0,1012.0,2.685,37.8167,101.299,2022,1,0
7.3,8,7.0,921.0,3.713,-7.5924,127.581,2021,12,0
7.3,9,5.0,854.0,1.025,-7.6033,122.2,2021,12,1
7.5,8,8.0,1094.0,4.951,-4.4898,-76.8461,2021,11,1
6.9,8,6.0,995.0,0.0,56.2581,-156.492,2021,10,1
6.9,8,7.0,741.0,0.579,-14.892,167.085,2021,8,1
7.3,9,9.0,1025.0,4.655,34.5861,98.2551,2021,5,0
6.9,7,6.0,919.0,2.619,38.2296,141.665,2021,5,1
7.0,7,7.0,1052.0,2.378,38.4752,141.607,2021,3,1
6.9,9,5.0,739.0,1.55,-61.8484,-55.559,2021,1,1
6.7,8,8.0,776.0,2.043,51.2407,100.443,2021,1,0
7.0,8,7.0,1527.0,1.518,37.8973,26.7953,2020,10,0
7.6,9,7.0,1165.0,0.23,54.662,-159.675,2020,10,1
6.8,6,7.0,824.0,0.312,-28.013,-71.1958,2020,9,1
6.9,4,3.0,749.0,2.267,-6.6704,123.493,2020,8,0
6.9,4,4.0,735.0,1.716,-4.2791,101.215,2020,8,0
6.8,5,4.0,716.0,1.816,-4.3724,101.095,2020,8,0
6.6,9,8.0,784.0,5.128,12.0065,124.13,2020,8,1
7.0,6,7.0,820.0,1.671,-7.847,147.755,2020,7,1
7.4,8,8.0,1494.0,0.151,15.9163,-95.9533,2020,6,1
6.8,6,6.0,835.0,1.164,-23.2966,-68.4204,2020,6,1
6.5,7,8.0,1320.0,0.357,38.1689,-117.85,2020,5,0
6.8,4,6.0,738.0,1.921,-6.7762,129.785,2020,5,0
6.5,8,8.0,1410.0,0.885,44.4646,-115.118,2020,3,0
7.0,5,6.0,770.0,4.501,45.6161,148.959,2020,2,1
6.7,8,9.0,1247.0,0.87,38.4312,39.0609,2020,1,0
6.8,9,7.0,825.0,0.546,6.6969,125.174,2019,12,1
7.1,6,6.0,799.0,1.271,1.6213,126.416,2019,11,1
6.5,9,7.0,733.0,0.428,6.9098,125.178,2019,10,1
6.6,9,7.0,780.0,0.646,6.7567,125.008,2019,10,1
6.5,7,7.0,656.0,3.909,-3.4528,128.37,2019,9,1
6.6,2,3.0,671.0,4.121,-20.3641,-178.57,2019,9,1
6.6,0,4.0,670.0,6.024,-16.1985,167.998,2019,7,1
7.2,7,7.0,809.0,1.504,-0.5858,128.034,2019,7,1
6.9,7,5.0,747.0,1.205,0.5126,126.189,2019,7,0
7.1,9,9.0,1646.0,0.04616,35.7695,-117.599,2019,7,0
7.3,4,6.0,952.0,2.629,-6.4078,129.169,2019,6,1
7.6,7,7.0,929.0,0.453,-4.051,152.597,2019,5,1
7.1,7,6.0,826.0,2.514,-6.9746,146.449,2019,5,1
6.8,5,6.0,717.0,0.791,-1.8146,122.58,2019,4,1
7.0,7,4.0,869.0,2.501,-14.7131,-70.1546,2019,3,1
7.5,7,7.0,1145.0,2.045,-2.1862,-77.0505,2019,2,1
6.7,6,6.0,909.0,0.289,14.6802,-92.4527,2019,2,1
6.7,8,8.0,1600.0,0.173,-30.0404,-71.3815,2019,1,1
6.6,2,4.0,672.0,1.596,2.258,126.758,2019,1,1
6.8,3,3.0,715.0,1.181,-8.144,-71.587,2019,1,0
7.1,8,8.0,1790.0,0.0,61.3464,-149.955,2018,11,1
6.8,0,3.0,711.0,2.879,-17.8735,-178.927,2018,11,1
7.0,6,6.0,758.0,1.778,-5.7012,151.205,2018,10,1
6.7,2,3.0,691.0,3.745,-18.3604,-178.063,2018,9,1
6.5,3,6.0,651.0,1.638,-10.0207,161.503,2018,9,1
7.9,7,4.0,979.0,1.431,-18.4743,179.35,2018,9,1
6.6,8,9.0,1075.0,1.13,42.6861,141.929,2018,9,1
7.1,0,3.0,776.0,3.77,-11.0355,-70.8284,2018,8,0
6.5,6,7.0,652.0,4.797,-16.0315,168.143,2018,8,1
7.3,8,6.0,1570.0,1.822,10.7731,-62.9019,2018,8,1
6.9,7,7.0,1206.0,2.453,-8.319,116.627,2018,8,0
6.5,5,3.0,743.0,2.719,-7.3718,119.802,2018,8,0
6.5,6,6.0,655.0,0.576,51.4234,-178.026,2018,8,1
6.9,9,8.0,1704.0,2.271,-8.2581,116.438,2018,8,0
6.9,7,8.0,1392.0,0.11,19.3182,-155.0,2018,5,1
6.8,5,3.0,733.0,5.32,-20.6588,-63.0058,2018,4,0
6.9,9,6.0,741.0,1.487,-5.5321,151.5,2018,3,1
6.7,5,6.0,696.0,1.507,-5.5024,151.402,2018,3,1
6.8,6,6.0,719.0,1.049,-4.3762,153.2,2018,3,1
6.7,8,7.0,697.0,5.457,-6.3043,142.612,2018,3,1
7.5,9,8.0,943.0,5.48,-6.0699,142.754,2018,2,1
7.2,7,7.0,1384.0,0.142,16.3855,-97.9787,2018,2,1
7.1,9,7.0,1075.0,4.29,-15.7675,-74.7092,2018,1,1
6.5,8,7.0,998.0,2.365,-7.4921,108.174,2017,12,0
6.5,8,8.0,1153.0,0.225,9.5147,-84.4865,2017,11,1
6.5,6,5.0,661.0,4.449,-4.2433,143.485,2017,11,1
6.7,3,3.0,694.0,1.634,-7.2168,123.074,2017,10,0
7.1,9,8.0,1686.0,0.984,18.5499,-98.4887,2017,9,0
6.6,7,7.0,1064.0,0.913,36.9293,27.4139,2017,7,0
6.5,9,8.0,740.0,4.139,11.1269,124.629,2017,7,1
6.9,8,6.0,1188.0,0.247,14.9091,-92.0092,2017,6,1
6.6,7,7.0,678.0,2.353,-1.2923,120.431,2017,5,0
6.9,9,6.0,814.0,1.636,5.5043,125.066,2017,4,1
6.5,7,8.0,1297.0,2.36,-22.6784,25.1558,2017,4,0
6.6,6,7.0,671.0,4.591,56.9401,162.786,2017,3,1
6.5,3,3.0,653.0,4.242,-19.2814,-63.9047,2017,2,0
6.5,8,7.0,718.0,2.822,9.9071,125.452,2017,2,1
7.9,9,7.0,987.0,3.625,-6.2464,155.172,2017,1,1
6.5,6,6.0,654.0,1.64,-10.3506,161.335,2017,1,1
7.6,9,8.0,1152.0,0.355,-43.4064,-73.9413,2016,12,1
6.7,5,5.0,726.0,3.38,-7.5082,127.921,2016,12,0
7.9,9,7.0,972.0,1.389,-4.5049,153.522,2016,12,1
7.8,9,8.0,961.0,1.836,-10.6812,161.327,2016,12,1
6.5,9,8.0,731.0,0.778,5.2834,96.1678,2016,12,0
6.6,8,7.0,693.0,1.697,39.2732,73.9776,2016,11,0
6.5,7,7.0,664.0,0.283,-42.6058,173.254,2016,11,1
6.5,6,7.0,656.0,0.135,-42.3205,173.669,2016,11,1
7.8,9,9.0,1545.0,0.481,-42.7373,173.054,2016,11,1
6.6,3,3.0,677.0,2.022,-4.8626,108.163,2016,10,0
6.8,3,6.0,716.0,3.727,-6.0033,148.887,2016,10,1
6.9,2,3.0,733.0,4.051,-19.7819,-178.244,2016,9,1
6.8,4,3.0,713.0,0.803,-3.6849,152.792,2016,8,1
6.8,6,6.0,981.0,1.802,20.9228,94.569,2016,8,0
6.6,4,6.0,671.0,2.435,-2.0967,100.665,2016,6,0
6.9,8,7.0,780.0,1.192,0.4947,-79.616,2016,5,1
6.7,5,7.0,744.0,1.352,0.4261,-79.7899,2016,5,1
7.0,7,7.0,755.0,0.616,-16.0429,167.379,2016,4,1
7.8,9,9.0,1163.0,1.44,0.3819,-79.9218,2016,4,1
6.9,6,6.0,903.0,3.001,23.0944,94.8654,2016,4,0
6.6,6,4.0,738.0,0.789,36.4725,71.1311,2016,4,0
6.9,7,6.0,734.0,1.166,-14.3235,166.855,2016,4,1
7.2,3,7.0,799.0,0.958,53.9776,158.546,2016,1,1
7.1,7,7.0,1496.0,0.0,59.6204,-153.339,2016,1,1
6.7,5,6.0,717.0,0.281,41.9723,142.781,2016,1,1
6.5,3,6.0,651.0,3.144,3.8965,126.862,2016,1,1
6.7,8,7.0,1515.0,1.794,24.8036,93.6505,2016,1,0
6.6,8,6.0,765.0,0.41,15.8015,-93.633,2015,12,1
6.9,8,5.0,738.0,2.979,-4.1064,129.508,2015,12,0
7.2,4,7.0,827.0,1.116,38.2107,72.7797,2015,12,0
6.7,2,3.0,691.0,2.033,-9.1825,-71.2574,2015,11,0
7.6,5,4.0,896.0,2.852,-10.0598,-71.0184,2015,11,0
7.6,6,5.0,957.0,3.287,-10.5372,-70.9437,2015,11,1
6.8,5,6.0,715.0,1.599,-8.8994,158.422,2015,11,1
6.5,7,7.0,1018.0,0.0,38.67,20.6,2015,11,0
6.8,7,7.0,841.0,0.258,-30.8796,-71.4519,2015,11,1
6.5,5,7.0,657.0,1.53,-8.3381,124.875,2015,11,0
7.5,8,7.0,1448.0,0.622,36.5244,70.3676,2015,10,0
7.1,6,6.0,780.0,0.592,-14.8595,167.303,2015,10,1
6.6,7,7.0,671.0,2.486,-0.6212,131.262,2015,9,0
6.6,5,7.0,820.0,1.064,-31.7275,-71.3792,2015,9,1
6.7,5,7.0,718.0,0.853,-31.5173,-71.804,2015,9,0
6.5,6,7.0,657.0,0.749,-31.4244,-71.6876,2015,9,0
7.0,8,7.0,799.0,0.903,-31.5622,-71.4262,2015,9,0
6.7,4,5.0,691.0,1.529,-9.307,158.403,2015,7,1
6.8,8,6.0,831.0,1.422,38.9056,142.032,2015,5,1
7.3,8,7.0,1563.0,0.677,27.8087,86.0655,2015,5,0
7.5,7,8.0,869.0,1.295,-5.4624,151.875,2015,5,1
6.8,5,6.0,714.0,1.074,-5.2005,151.777,2015,5,1
6.7,5,6.0,692.0,1.239,-5.375,151.771,2015,4,1
6.7,7,7.0,1016.0,0.727,27.7711,86.0173,2015,4,0
6.6,8,7.0,733.0,1.778,28.2244,84.8216,2015,4,0
7.5,6,7.0,872.0,0.666,-4.7294,152.562,2015,3,1
7.0,4,6.0,760.0,1.362,-7.2968,122.535,2015,2,0
6.7,4,6.0,700.0,2.11,-23.1125,-66.688,2015,2,1
6.8,1,4.0,711.0,2.019,-17.0309,168.52,2015,1,1
6.6,7,6.0,709.0,2.485,7.9401,-82.6865,2014,12,1
6.6,1,3.0,670.0,2.6,6.1572,123.126,2014,12,0
6.8,6,5.0,713.0,1.421,1.9604,126.575,2014,11,1
6.5,5,5.0,652.0,1.549,2.2999,127.056,2014,11,1
7.1,4,6.0,779.0,1.397,1.8929,126.522,2014,11,1
6.6,2,6.0,671.0,3.557,-5.9873,148.232,2014,11,1
6.8,6,6.0,741.0,4.107,-14.598,-73.5714,2014,8,1
6.9,0,6.0,732.0,3.934,-19.8015,-178.4,2014,7,1
6.9,8,7.0,1079.0,0.263,14.724,-92.4614,2014,7,1
7.9,6,8.0,963.0,0.133,51.8486,178.735,2014,6,1
6.9,9,7.0,951.0,0.402,40.2893,25.3889,2014,5,0
6.6,0,6.0,670.0,3.803,-6.6558,155.087,2014,4,1
7.2,8,7.0,1017.0,2.25,17.397,-100.972,2014,4,1
6.6,6,5.0,677.0,0.761,11.642,-85.8779,2014,4,1
7.1,0,7.0,776.0,3.729,-6.5858,155.048,2014,4,1
6.5,0,5.0,650.0,0.409,-15.0691,167.372,2014,2,1
6.5,0,4.0,650.0,3.997,-13.8633,167.249,2014,1,1
6.6,6,7.0,723.0,0.636,-30.2921,-71.5215,2013,10,1
6.8,0,6.0,711.0,5.79,-6.4456,154.931,2013,10,1
7.1,9,8.0,1092.0,3.144,9.8796,124.117,2013,10,1
7.1,8,7.0,843.0,4.446,-15.8385,-74.5112,2013,9,1
6.5,4,5.0,668.0,3.097,-7.44,128.221,2013,9,0
6.5,9,7.0,690.0,0.0,-41.734,174.152,2013,8,1
6.5,6,7.0,693.0,0.0,-41.704,174.337,2013,7,1
7.3,0,6.0,820.0,0.0,-60.857,-25.07,2013,7,1
6.6,4,6.0,674.0,0.0,-6.029,149.706,2013,7,0
7.3,0,4.0,820.0,0.0,-3.917,153.927,2013,7,1
6.5,0,6.0,650.0,0.0,-3.898,152.127,2013,4,1
7.2,5,7.0,804.0,0.0,46.221,150.788,2013,4,1
6.6,7,7.0,672.0,0.0,-3.214,142.542,2013,4,1
7.7,8,8.0,1421.0,0.0,28.033,61.996,2013,4,0
7.0,3,7.0,755.0,0.0,-3.517,138.476,2013,4,1
6.5,0,6.0,650.0,0.0,-6.598,148.174,2013,3,1
6.6,0,7.0,670.0,0.0,67.631,142.508,2013,2,1
6.6,0,6.0,670.0,0.0,-10.994,165.741,2013,2,1
6.9,5,5.0,904.0,0.0,1.135,-77.393,2013,2,1
7.1,9,6.0,780.0,0.0,-10.928,166.018,2013,2,1
6.8,0,7.0,711.0,0.0,-10.838,165.969,2013,2,1
6.7,0,6.0,691.0,0.0,-10.997,165.655,2013,2,1
7.0,0,6.0,754.0,0.0,-10.499,165.588,2013,2,0
6.9,6,7.0,814.0,0.0,42.77,143.092,2013,2,0
6.8,6,7.0,771.0,0.0,-28.094,-70.653,2013,1,0
6.7,0,4.0,691.0,0.0,-14.344,167.286,2012,12,0
7.1,5,5.0,843.0,0.0,-6.533,129.825,2012,12,0
6.8,7,6.0,795.0,0.0,23.005,95.885,2012,11,0
7.8,8,7.0,1726.0,0.0,52.788,-132.101,2012,10,0
6.5,6,6.0,745.0,0.0,10.086,-85.298,2012,10,0
6.6,3,5.0,675.0,0.0,-4.892,134.03,2012,10,0
7.3,7,6.0,1221.0,0.0,1.929,-76.362,2012,9,0
7.6,8,7.0,1555.0,0.0,10.085,-85.315,2012,9,0
6.6,4,5.0,678.0,0.0,2.19,126.837,2012,8,0
6.5,5,6.0,653.0,0.0,-4.651,153.173,2012,7,0
6.6,4,5.0,675.0,0.0,-18.685,-174.705,2012,4,0
6.7,0,7.0,691.0,0.0,-1.617,134.276,2012,4,0
6.8,6,5.0,732.0,0.0,-5.462,147.117,2012,4,0
6.7,0,7.0,691.0,0.0,-32.625,-71.365,2012,4,0
7.0,7,7.0,1000.0,0.0,28.696,-113.104,2012,4,0
6.5,7,6.0,1171.0,0.0,18.229,-102.689,2012,4,0
7.1,7,7.0,1496.0,0.0,-35.2,-72.217,2012,3,0
6.6,6,6.0,709.0,0.0,-6.242,145.955,2012,3,0
7.4,9,8.0,1752.0,0.0,16.493,-98.231,2012,3,0
6.7,7,7.0,833.0,0.0,51.708,95.991,2012,2,0
6.7,9,7.0,1551.0,0.0,9.999,123.206,2012,2,0
6.6,0,7.0,670.0,0.0,51.842,95.911,2011,12,0
7.1,6,6.0,834.0,0.0,-7.551,146.809,2011,12,0
6.5,8,7.0,1400.0,0.0,17.986,-99.789,2011,12,0
6.9,6,7.0,847.0,0.0,-14.438,-75.966,2011,10,0
7.1,9,9.0,1096.0,0.0,38.721,43.508,2011,10,0
6.5,3,6.0,655.0,0.0,-6.57,147.881,2011,10,0
6.9,8,8.0,1562.0,0.0,27.73,88.155,2011,9,0
6.7,5,6.0,915.0,0.0,2.965,97.893,2011,9,0
7.0,6,6.0,913.0,0.0,-7.641,-74.525,2011,8,0
6.6,3,6.0,674.0,0.0,-3.518,144.828,2011,7,0
6.7,6,6.0,749.0,0.0,39.955,142.205,2011,6,0
6.8,5,6.0,719.0,0.0,-10.375,161.2,2011,4,0
6.6,7,7.0,822.0,0.0,37.001,140.401,2011,4,0
7.1,8,8.0,1114.0,0.0,38.276,141.588,2011,4,0
6.6,7,6.0,897.0,0.0,17.208,-94.338,2011,4,0
6.9,7,9.0,1154.0,0.0,20.687,99.822,2011,3,0
6.9,7,7.0,988.0,0.0,-36.422,-72.96,2011,2,0
7.2,7,7.0,1449.0,0.0,28.777,63.951,2011,1,0
7.2,8,7.0,1054.0,0.0,-38.355,-73.326,2011,1,0
6.7,3,7.0,708.0,0.0,28.412,59.18,2010,12,0
6.6,0,6.0,670.0,0.0,-6.001,149.977,2010,12,0
7.0,8,5.0,772.0,0.0,-4.963,133.76,2010,9,0
7.0,8,8.0,1245.0,0.0,-43.522,171.83,2010,9,0
7.1,6,5.0,945.0,0.0,-1.266,-77.306,2010,8,0
7.3,7,7.0,850.0,0.0,-17.541,168.069,2010,8,0
7.0,4,6.0,757.0,0.0,-5.746,150.765,2010,8,0
6.5,5,4.0,659.0,0.0,-5.486,146.822,2010,8,0
7.6,5,3.0,902.0,0.0,6.497,123.48,2010,7,0
7.3,8,7.0,831.0,0.0,-5.931,150.59,2010,7,0
6.9,4,7.0,737.0,0.0,-5.966,150.428,2010,7,0
6.6,6,7.0,753.0,0.0,-38.067,-73.31,2010,7,0
6.7,5,6.0,696.0,0.0,-10.627,161.447,2010,6,0
6.6,0,7.0,670.0,0.0,-2.329,136.484,2010,6,0
7.0,3,7.0,755.0,0.0,-2.174,136.543,2010,6,0
7.2,5,6.0,804.0,0.0,-13.698,166.643,2010,5,0
7.2,5,6.0,918.0,0.0,3.748,96.018,2010,5,0
6.9,6,9.0,773.0,0.0,33.165,96.548,2010,4,0
7.8,0,7.0,936.0,0.0,2.383,97.048,2010,4,0
6.6,5,6.0,701.0,0.0,13.667,92.831,2010,3,0
7.0,7,7.0,874.0,0.0,-34.326,-71.799,2010,3,0
6.9,7,7.0,1280.0,0.0,-34.29,-71.891,2010,3,0
6.8,4,6.0,717.0,0.0,-3.762,100.991,2010,3,0
6.6,7,7.0,736.0,0.0,-36.665,-73.374,2010,3,0
6.5,0,4.0,650.0,0.0,-13.571,167.227,2010,3,0
7.0,9,9.0,1623.0,0.0,18.443,-72.571,2010,1,0
7.1,5,7.0,780.0,0.0,-8.783,157.354,2010,1,0
6.6,5,7.0,672.0,0.0,-8.726,157.487,2010,1,0
6.5,6,7.0,698.0,0.0,-19.394,-70.321,2009,11,0
7.3,0,4.0,820.0,0.0,-17.239,178.331,2009,11,0
6.6,7,6.0,677.0,0.0,-8.207,118.631,2009,11,0
6.9,4,6.0,972.0,0.0,-6.133,130.385,2009,10,0
7.4,0,7.0,842.0,0.0,-13.093,166.497,2009,10,0
7.7,4,7.0,916.0,0.0,-13.006,166.51,2009,10,0
6.6,7,7.0,787.0,0.0,-2.482,101.524,2009,10,0
7.6,8,8.0,1639.0,0.0,-0.72,99.867,2009,9,0
7.0,7,7.0,1175.0,0.0,-7.782,107.297,2009,9,0
6.7,5,6.0,753.0,0.0,-1.479,99.49,2009,8,0
6.9,5,7.0,1202.0,0.0,29.039,-112.903,2009,8,0
7.8,6,8.0,1165.0,0.0,-45.762,166.562,2009,7,0
6.7,5,5.0,693.0,0.0,-5.157,153.782,2009,6,0
7.2,3,7.0,802.0,0.0,3.886,126.387,2009,2,0
7.4,7,7.0,846.0,0.0,-0.691,133.305,2009,1,0
